Bug ID,Bug Summary,Module/Feature,Severity,Priority,Status,Assigned To,Reported By,Bug Reporting Date,Fix Date
H-12,Missing JWT Expiration Check,Authentication,High,Medium,Fixed,Fattah 204,Multazam 212,1/17/2026,1/22/2026
H-13,No Validation on Team Member Array,Team Registration,High,Medium,Fixed,B Mahin 254,Neel 206,1/19/2026,1/24/2026
H-14,Email Error Message Disclosure,Email Service,High,Medium,Fixed,Nakib 220,M Mahin 238,1/21/2026,1/26/2026
H-15,Bookmark User ID Not Verified,Bookmarks System,High,Medium,Fixed,Multazam 212,B Mahin 254,1/23/2026,1/28/2026
M-1,No Password Strength Validation,User Registration,Medium,Medium,Fixed,Neel 206,Nakib 220,1/25/2026,1/30/2026
M-2,File Type Bypass via Extension,Document Upload,Medium,Medium,Fixed,M Mahin 238,Fattah 204,1/27/2026,2/1/2026
M-3,SVG XSS Vector via Image Upload,Image Upload,Medium,Medium,Fixed,Fattah 204,Multazam 212,1/29/2026,2/3/2026
M-4,Multiple Carousel Timers,Homepage,Medium,Medium,Fixed,B Mahin 254,Nakib 220,1/31/2026,2/5/2026
M-5,Infinite Spinner CancelEventModal,Event UI,Medium,Medium,Fixed,Nakib 220,Neel 206,2/2/2026,2/7/2026
M-6,N+1 Query OrganizerPaymentDashboard,Payment Dashboard,Medium,Medium,Fixed,Multazam 212,Fattah 204,2/4/2026,2/9/2026
M-7,N+1 API Calls InstitutionDashboard,Payment Analytics,Medium,Medium,Fixed,Neel 206,M Mahin 238,2/6/2026,2/11/2026
M-8,Sensitive Payment Data Logged,Payment Logs,Medium,Medium,Fixed,M Mahin 238,B Mahin 254,2/8/2026,2/13/2026
M-9,SSRF Vulnerability in Crawler,Web Crawler,Medium,Medium,Fixed,Fattah 204,Nakib 220,2/10/2026,2/15/2026
M-10,Protocol Validation Missing,Crawler Security,Medium,Medium,Fixed,B Mahin 254,Multazam 212,2/12/2026,2/17/2026
M-11,Missing Payment Amount Validation,Payment Initiation,Medium,Medium,Fixed,Nakib 220,Neel 206,2/14/2026,2/19/2026
M-12,Race Condition Payment Creation,Payment Processing,Medium,Medium,Fixed,Multazam 212,B Mahin 254,2/16/2026,2/21/2026
M-13,No Idempotency Token Payment,Payment Initiation,Medium,Medium,Fixed,Neel 206,Fattah 204,2/18/2026,2/23/2026
M-14,Silent Date Fallback in Crawler,Event Crawler,Medium,Low,Fixed,M Mahin 238,Nakib 220,2/20/2026,2/24/2026
L-1,API Base URL Logged in Console,Frontend Config,Low,Low,Fixed,Fattah 204,Multazam 212,2/22/2026,2/25/2026
L-2,No minLength Attribute Password,Registration Form,Low,Low,Fixed,B Mahin 254,Neel 206,2/23/2026,2/26/2026
L-3,File Selection UX Issue,Document Upload,Low,Low,Fixed,Nakib 220,Fattah 204,2/24/2026,2/27/2026
L-4,No Image Dimension Validation,Image Upload,Low,Low,Fixed,Multazam 212,M Mahin 238,2/25/2026,2/28/2026
L-5,FileReader onError Not Handled,Image Upload,Low,Low,Fixed,Neel 206,B Mahin 254,2/26/2026,3/1/2026
L-6,setState on Unmounted Modal,Event Modal,Low,Low,Fixed,M Mahin 238,Nakib 220,2/27/2026,3/1/2026
